# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:42:10 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
SRS1992820	SRS1992819	8.72e-01	1.0	msp_0148c,msp_0602c,msp_0881,msp_0884,msp_1782,msp_1784,msp_1799,msp_1787,msp_2214,msp_2218,msp_2220,msp_2223,msp_2227,msp_2240,msp_2246,msp_2254,msp_2255,msp_2274,msp_2306,msp_2312,msp_2357,msp_2448,msp_2829,msp_2911,msp_2943,msp_2944
SRS1992783	SRS1992750	8.69e-01	0.52	msp_0148c,msp_1543,msp_1782,msp_1784,msp_2220,msp_2228,msp_2232,msp_2246,msp_2333,msp_2888
SRS1992833	SRS1992826	7.85e-01	0.89	msp_0007,msp_0008,msp_0013,msp_0022,msp_0023,msp_0025,msp_0032,msp_0034,msp_0035,msp_0040,msp_0045,msp_0046,msp_0063,msp_0068,msp_0083,msp_0089,msp_0090,msp_0095,msp_0110,msp_0121,msp_0124,msp_0144,msp_0151,msp_0196,msp_0205,msp_0225,msp_0226,msp_0230,msp_0270,msp_0298,msp_0306,msp_0312,msp_0318,msp_0356,msp_0361,msp_0374,msp_0381,msp_0388,msp_0417,msp_0452,msp_0476,msp_0477,msp_0478,msp_0490,msp_0592,msp_0615,msp_0623,msp_0627,msp_0630,msp_0643,msp_0654,msp_0723,msp_0763,msp_0777,msp_0841,msp_0879,msp_0903,msp_0942,msp_0988,msp_1009,msp_1052,msp_1056,msp_1060c,msp_1302,msp_1323,msp_1531c,msp_0212
SRS1992888	SRS1992846	7.71e-01	0.81	msp_0009,msp_0347,msp_1418c,msp_1543,msp_1601,msp_1677,msp_1866,msp_0380,msp_1810,msp_2240,msp_2250,msp_2814,msp_2887,msp_2888
SRS1992853	SRS1992858	7.52e-01	0.85	msp_0148c,msp_0602c,msp_1219,msp_1782,msp_0380,msp_2216,msp_2227,msp_2943
SRS1992760	SRS1992738	7.21e-01	0.89	msp_0148c,msp_0844c,msp_0884,msp_1219,msp_1782,msp_1784,msp_0313,msp_0380,msp_1603c,msp_1787,msp_2223,msp_2228,msp_2377,msp_2396,msp_2505,msp_2829,msp_2912,msp_2932,msp_2943,msp_2944
SRS1992894	SRS1992886	7.11e-01	0.51	msp_0005,msp_0041,msp_0069,msp_0090,msp_0347,msp_0742,msp_1418c,msp_1543,msp_2240,msp_2250,msp_2887
SRS1992781	SRS1992782	7.08e-01	1.0	msp_0148c,msp_0446c,msp_0602c,msp_0844c,msp_0881,msp_0884,msp_1219,msp_1782,msp_1784,msp_1603c,msp_1787,msp_2216,msp_2218,msp_2220,msp_2227,msp_2228,msp_2232,msp_2240,msp_2246,msp_2254,msp_2261,msp_2267,msp_2268,msp_2312,msp_2333,msp_2353,msp_2357,msp_2377,msp_2378,msp_2384,msp_2829,msp_2909,msp_2922,msp_2943,msp_2944
SRS1992799	SRS1992816	6.83e-01	0.63	msp_0148c,msp_0602c,msp_0742,msp_0881,msp_1196,msp_1782,msp_0380,msp_1783,msp_2216,msp_2240,msp_2254,msp_2886,msp_2943
SRS1992853	SRS1992859	6.60e-01	0.97	msp_0148c,msp_0446c,msp_0742,msp_0844c,msp_0884,msp_1219,msp_1325,msp_1782,msp_1603c,msp_1702,msp_2220,msp_2223,msp_2228,msp_2266,msp_2277,msp_2829,msp_2914,msp_2922,msp_2943
SRS1992788	SRS1992775	6.50e-01	0.82	msp_0003,msp_0029,msp_0032,msp_0034,msp_0035,msp_0038,msp_0039,msp_0041,msp_0044,msp_0045,msp_0050,msp_0055,msp_0063,msp_0069,msp_0072,msp_0075,msp_0087,msp_0090,msp_0093,msp_0106,msp_0110,msp_0121,msp_0123,msp_0127,msp_0128,msp_0136,msp_0141,msp_0142,msp_0144,msp_0145,msp_0152,msp_0160,msp_0172,msp_0173,msp_0176,msp_0192,msp_0196,msp_0202,msp_0205,msp_0207,msp_0208,msp_0224,msp_0225,msp_0244,msp_0250,msp_0257,msp_0258,msp_0273,msp_0285,msp_0286,msp_0291,msp_0296,msp_0300,msp_0306,msp_0307,msp_0312,msp_0318,msp_0319,msp_0346,msp_0352,msp_0356,msp_0357,msp_0385,msp_0388,msp_0398,msp_0404,msp_0418,msp_0424,msp_0452,msp_0456,msp_0468,msp_0477,msp_0478,msp_0484,msp_0490,msp_0492,msp_0506,msp_0508,msp_0509,msp_0521,msp_0538,msp_0546,msp_0558,msp_0578,msp_0586,msp_0591,msp_0592,msp_0596,msp_0613,msp_0622,msp_0632,msp_0652,msp_0667,msp_0685,msp_0741,msp_0769,msp_0777,msp_0790,msp_0794,msp_0795,msp_0820,msp_0845,msp_0854,msp_0874,msp_0879,msp_0903,msp_0908,msp_0942,msp_0961,msp_0979,msp_1009,msp_1021,msp_1027,msp_1031,msp_1043,msp_1066,msp_1076,msp_1160,msp_1176,msp_1195,msp_1236,msp_1302,msp_1323,msp_1324,msp_1347c,msp_1349,msp_1550,msp_1551,msp_1754,msp_1788,msp_0026,msp_0030,msp_0166,msp_1453,msp_1783,msp_1786,msp_1789,msp_2214,msp_2240,msp_2265,msp_2269,msp_2277,msp_2294,msp_2312,msp_2378,msp_2379,msp_2393,msp_2418,msp_2448,msp_2505,msp_2508,msp_2544,msp_2617,msp_2675,msp_2825,msp_2864,msp_2892,msp_2920,msp_2922,msp_2929,msp_2934,msp_2938,msp_2941,msp_2947
SRS1992760	SRS1992820	6.46e-01	0.59	msp_0148c,msp_0446c,msp_0881,msp_0884,msp_1788,msp_0313,msp_0380,msp_1453,msp_1603c,msp_1787,msp_2236,msp_2274,msp_2379,msp_2396,msp_2397,msp_2438,msp_2505,msp_2532,msp_2829,msp_2932,msp_2943
SRS1992856	SRS1992761	6.44e-01	0.53	msp_0148c,msp_0742,msp_1219,msp_1543,msp_1599,msp_0380,msp_2227,msp_2249,msp_2893,msp_2943
SRS1992807	SRS1992859	6.36e-01	0.83	msp_0005,msp_0090,msp_0602c,msp_0742,msp_1196,msp_1219,msp_1782,msp_2216,msp_2223,msp_2227,msp_2240
SRS1992695	SRS1992820	6.32e-01	0.55	msp_0446c,msp_0602c,msp_0844c,msp_1219,msp_1418c,msp_0380,msp_0974c,msp_1453,msp_1603c,msp_1787,msp_2220,msp_2223,msp_2228,msp_2254,msp_2266,msp_2277,msp_2350,msp_2370,msp_2378,msp_2511,msp_2824,msp_2829,msp_2875,msp_2886,msp_2888,msp_2916,msp_2927,msp_2937,msp_2942,msp_2944
SRS1992694	SRS1992699	6.16e-01	0.7	msp_0007,msp_0009,msp_0013,msp_0014,msp_0015,msp_0016,msp_0017,msp_0027,msp_0029,msp_0036,msp_0037,msp_0039,msp_0040,msp_0043,msp_0046,msp_0048,msp_0055,msp_0059,msp_0068,msp_0069,msp_0071,msp_0086,msp_0124,msp_0130,msp_0139,msp_0172,msp_0198,msp_0213,msp_0256,msp_0259,msp_0307,msp_0331,msp_0342,msp_0349,msp_0364,msp_0454,msp_0462,msp_0477,msp_0478,msp_0500,msp_0565,msp_0586,msp_0594,msp_0630,msp_0665,msp_0713,msp_0759,msp_0766,msp_0769,msp_0848,msp_0861,msp_0963c,msp_0976,msp_0977,msp_0978,msp_1060c,msp_1143,msp_1404,msp_0380,msp_2227,msp_2265,msp_2357
SRS1992791	SRS1992819	6.04e-01	0.54	msp_0602c,msp_1782,msp_1799,msp_1603c,msp_1787,msp_2218,msp_2227,msp_2249,msp_2254,msp_2255,msp_2350,msp_2357,msp_2377,msp_2511,msp_2829,msp_2875,msp_2911,msp_2941,msp_2944
SRS1992859	SRS1992858	5.59e-01	0.57	msp_0005,msp_0602c,msp_0380,msp_2216,msp_2223,msp_2240,msp_2246,msp_2249,msp_2254,msp_2949
SRS1992695	SRS1992819	5.54e-01	0.6	msp_0602c,msp_0844c,msp_1219,msp_1325,msp_1603c,msp_1787,msp_2220,msp_2223,msp_2228,msp_2254,msp_2511,msp_2829,msp_2875,msp_2886,msp_2888,msp_2944
SRS1992826	SRS1992833	5.37e-01	0.51	msp_0017,msp_0019,msp_0029,msp_0038,msp_0042,msp_0053,msp_0055,msp_0057,msp_0060,msp_0071,msp_0072,msp_0075,msp_0093,msp_0106,msp_0107,msp_0126,msp_0130,msp_0152,msp_0154,msp_0158,msp_0164,msp_0172,msp_0194,msp_0198,msp_0236,msp_0238,msp_0244,msp_0286,msp_0346,msp_0353,msp_0397,msp_0412,msp_0418,msp_0463,msp_0468,msp_0473c,msp_0480,msp_0489,msp_0504,msp_0506,msp_0521,msp_0542,msp_0546,msp_0553,msp_0555,msp_0561,msp_0563,msp_0572,msp_0578,msp_0585,msp_0620,msp_0628,msp_0640,msp_0665,msp_0676,msp_0699,msp_0728,msp_0804,msp_0820,msp_0821,msp_0854,msp_0885,msp_0898,msp_0930,msp_0943,msp_0947,msp_0966,msp_0981,msp_1021,msp_1037,msp_1042,msp_1049,msp_1066,msp_1097,msp_1143,msp_1177,msp_1236,msp_1342,msp_1533,msp_1622,msp_1641
SRS1992791	SRS1992785	2.70e-01	1.0	msp_0148c,msp_1782,msp_1784,msp_1799,msp_1603c,msp_1783,msp_1787,msp_1789,msp_2216,msp_2218,msp_2223,msp_2227,msp_2246,msp_2249,msp_2265,msp_2274,msp_2277,msp_2357,msp_2508,msp_2829,msp_2938,msp_2943,msp_2944
SRS1992833	SRS1992839	2.63e-01	0.97	msp_0008,msp_0016,msp_0019,msp_0021,msp_0022,msp_0023,msp_0034,msp_0038,msp_0053,msp_0055,msp_0057,msp_0060,msp_0068,msp_0071,msp_0073,msp_0095,msp_0116,msp_0125,msp_0128,msp_0130,msp_0158,msp_0164,msp_0205,msp_0286,msp_0298,msp_0301,msp_0306,msp_0312,msp_0361,msp_0373,msp_0381,msp_0388,msp_0389,msp_0397,msp_0412,msp_0417,msp_0418,msp_0452,msp_0476,msp_0484,msp_0490,msp_0511,msp_0521,msp_0526,msp_0534,msp_0578,msp_0585,msp_0615,msp_0620,msp_0676,msp_0723,msp_0728,msp_0763,msp_0777,msp_0804,msp_0821,msp_0879,msp_1042,msp_1052,msp_1056,msp_1302,msp_1349
SRS1992853	SRS1992816	2.62e-01	0.55	msp_0602c,msp_0742,msp_1784,msp_0380,msp_2223,msp_2227,msp_2254,msp_2943
SRS1992821	SRS1992823	2.43e-01	1.0	msp_0013,msp_0023,msp_0032,msp_0059,msp_0069,msp_0105,msp_0151,msp_0172,msp_0196,msp_0198,msp_0201,msp_0213,msp_0230,msp_0297,msp_0312,msp_0314,msp_0315,msp_0318,msp_0331,msp_0356,msp_0398,msp_0409,msp_0411,msp_0462,msp_0522,msp_0526,msp_0631,msp_0675,msp_0707,msp_0719,msp_0777,msp_0850,msp_1519
SRS1992859	SRS1992799	2.41e-01	0.57	msp_0010,msp_0012,msp_0022,msp_0032,msp_0045,msp_0046,msp_0059,msp_0069,msp_0083,msp_0089,msp_0090,msp_0110,msp_0124,msp_0144,msp_0146c,msp_0148c,msp_0196,msp_0205,msp_0225,msp_0287,msp_0374,msp_0375,msp_0381,msp_0388,msp_0446c,msp_0602c,msp_0742,msp_0844c,msp_0881,msp_0884,msp_1196,msp_1219,msp_1325,msp_1418c,msp_1543,msp_1599,msp_1748,msp_1782,msp_1784,msp_1788,msp_1997,msp_1453,msp_1786,msp_1805,msp_2220,msp_2225,msp_2228,msp_2230,msp_2232,msp_2235,msp_2240,msp_2249,msp_2265,msp_2266,msp_2269,msp_2366,msp_2370,msp_2379,msp_2384,msp_2448,msp_2511,msp_2829,msp_2868,msp_2892,msp_2894,msp_2912,msp_2914,msp_2922,msp_2941,msp_2949
SRS1992826	SRS1992839	2.38e-01	0.88	msp_0008,msp_0013,msp_0016,msp_0017,msp_0019,msp_0022,msp_0023,msp_0027,msp_0029,msp_0034,msp_0038,msp_0042,msp_0047,msp_0054,msp_0055,msp_0057,msp_0060,msp_0062,msp_0068,msp_0071,msp_0073,msp_0093,msp_0095,msp_0116,msp_0125,msp_0128,msp_0130,msp_0152,msp_0154,msp_0205,msp_0286,msp_0298,msp_0301,msp_0306,msp_0346,msp_0361,msp_0373,msp_0388,msp_0397,msp_0412,msp_0418,msp_0447,msp_0452,msp_0457,msp_0463,msp_0468,msp_0476,msp_0484,msp_0491,msp_0506,msp_0511,msp_0521,msp_0526,msp_0534,msp_0546,msp_0578,msp_0585,msp_0615,msp_0620,msp_0628,msp_0660,msp_0676,msp_0763,msp_0777,msp_0802,msp_0804,msp_0821,msp_0879,msp_0893,msp_0930,msp_0943,msp_1021,msp_1042,msp_1049,msp_1052,msp_1056,msp_1143,msp_1302,msp_1349
SRS1992853	SRS1992799	2.29e-01	0.92	msp_0148c,msp_0446c,msp_0742,msp_0844c,msp_0884,msp_1325,msp_1784,msp_1453,msp_1787,msp_2220,msp_2223,msp_2228,msp_2266,msp_2277,msp_2384,msp_2511,msp_2829,msp_2892,msp_2894,msp_2914,msp_2922,msp_2941
SRS1992799	SRS1992798	2.28e-01	1.0	msp_0012,msp_0025,msp_0045,msp_0148c,msp_0446c,msp_0602c,msp_0742,msp_0844c,msp_0881,msp_0884,msp_1196,msp_1219,msp_1325,msp_1418c,msp_1543,msp_1782,msp_1784,msp_1788,msp_0313,msp_0380,msp_0974c,msp_1603c,msp_1783,msp_1787,msp_1789,msp_1805,msp_2214,msp_2216,msp_2218,msp_2223,msp_2227,msp_2246,msp_2249,msp_2254,msp_2286,msp_2333,msp_2350,msp_2370,msp_2393,msp_2448,msp_2788,msp_2875,msp_2886,msp_2894,msp_2912,msp_2922,msp_2934,msp_2938,msp_2943,msp_2944,msp_2949
SRS1992796	SRS1992859	2.27e-01	0.64	msp_0844c,msp_0881,msp_0884,msp_1325,msp_1329,msp_1784,msp_1785,msp_1787,msp_1802,msp_2225,msp_2228,msp_2232,msp_2242,msp_2246,msp_2265,msp_2312,msp_2333,msp_2475,msp_2611,msp_2916
SRS1992724	SRS1992762	2.18e-01	0.86	msp_0148c,msp_0844c,msp_0884,msp_1603c,msp_1787,msp_2227,msp_2228,msp_2249,msp_2312,msp_2350,msp_2396,msp_2448,msp_2829,msp_2892,msp_2894,msp_2912,msp_2943
SRS1992807	SRS1992799	2.17e-01	1.0	msp_0148c,msp_0602c,msp_0742,msp_0881,msp_1196,msp_1219,msp_1782,msp_2216,msp_2223,msp_2227,msp_2240
SRS1992779	SRS1992775	2.14e-01	0.63	msp_0003,msp_0029,msp_0032,msp_0034,msp_0035,msp_0037,msp_0038,msp_0039,msp_0041,msp_0044,msp_0045,msp_0050,msp_0055,msp_0060,msp_0063,msp_0071,msp_0072,msp_0075,msp_0084,msp_0087,msp_0090,msp_0093,msp_0106,msp_0117,msp_0121,msp_0123,msp_0125,msp_0127,msp_0136,msp_0142,msp_0144,msp_0152,msp_0160,msp_0172,msp_0173,msp_0174,msp_0176,msp_0192,msp_0196,msp_0202,msp_0205,msp_0207,msp_0208,msp_0224,msp_0225,msp_0238,msp_0244,msp_0250,msp_0251,msp_0257,msp_0258,msp_0259,msp_0273,msp_0285,msp_0286,msp_0291,msp_0296,msp_0300,msp_0306,msp_0307,msp_0312,msp_0318,msp_0319,msp_0340,msp_0346,msp_0352,msp_0356,msp_0357,msp_0392,msp_0398,msp_0404,msp_0418,msp_0424,msp_0456,msp_0477,msp_0478,msp_0490,msp_0492,msp_0494,msp_0506,msp_0508,msp_0538,msp_0545,msp_0546,msp_0558,msp_0578,msp_0586,msp_0591,msp_0592,msp_0596,msp_0622,msp_0632,msp_0652,msp_0654,msp_0667,msp_0685,msp_0723,msp_0769,msp_0777,msp_0790,msp_0794,msp_0795,msp_0800,msp_0854,msp_0874,msp_0879,msp_0903,msp_0908,msp_0942,msp_0947,msp_0953,msp_0961,msp_0979,msp_0986,msp_1009,msp_1027,msp_1031,msp_1066,msp_1076,msp_1160,msp_1176,msp_1323,msp_1324,msp_1347c,msp_1471c,msp_1492,msp_1550,msp_1551,msp_1754,msp_1855,msp_0313,msp_1453,msp_2213,msp_2892,msp_2911
SRS1992820	SRS1992816	2.08e-01	0.62	msp_0148c,msp_0602c,msp_0742,msp_0881,msp_1219,msp_1782,msp_2218,msp_2223,msp_2246,msp_2254,msp_2943
SRS1992724	SRS1992763	1.84e-01	0.72	msp_0148c,msp_0884,msp_1603c,msp_1787,msp_2228,msp_2249,msp_2268,msp_2312,msp_2333,msp_2350,msp_2829,msp_2894,msp_2912,msp_2943
SRS1992760	SRS1992763	1.78e-01	0.53	msp_0148c,msp_0881,msp_1219,msp_1784,msp_1603c,msp_2268,msp_2384,msp_2396,msp_2829,msp_2919,msp_2932,msp_2943,msp_2944,msp_2947
SRS1992820	SRS1992762	1.69e-01	0.59	msp_0881,msp_0884,msp_1782,msp_1799,msp_1603c,msp_1787,msp_2216,msp_2218,msp_2228,msp_2240,msp_2254,msp_2266,msp_2274,msp_2357,msp_2829,msp_2875,msp_2892,msp_2922,msp_2943
