sample_id	subject_id	timepoint	biome
SRS1992690	C10055_I	t4	stool
SRS1992691	C10055_I	t1	saliva
SRS1992694	C10055_M	t0	stool
SRS1992695	C10055_M	t0	saliva
SRS1992696	C10055_I	t3	stool
SRS1992697	C10055_I	t2	saliva
SRS1992698	C10055_I	t2	stool
SRS1992699	C10055_I	t1	stool
SRS1992700	C10052_I	t5	stool
SRS1992701	C10052_I	t3	stool
SRS1992702	C10052_I	t2	saliva
SRS1992703	C10052_I	t2	stool
SRS1992704	C10052_I	t1	stool
SRS1992705	C10052_I	t1	saliva
SRS1992706	C10052_M	t0	saliva
SRS1992707	C10052_M	t0	stool
SRS1992709	C10049_I	t1	saliva
SRS1992711	C10049_M	t0	stool
SRS1992712	C10049_I	t2	stool
SRS1992713	C10049_I	t5	stool
SRS1992714	C10049_I	t4	stool
SRS1992715	C10049_I	t1	stool
SRS1992716	C10049_M	t0	saliva
SRS1992717	C10049_I	t2	saliva
SRS1992718	C10049_I	t3	stool
SRS1992720	C10043_I	t1	saliva
SRS1992722	C10043_M	t0	stool
SRS1992724	C10042_M	t0	saliva
SRS1992725	C10043_I	t2	saliva
SRS1992726	C10043_M	t0	saliva
SRS1992727	C10043_I	t2	stool
SRS1992728	C10042_I	t5	stool
SRS1992729	C10042_I	t4	stool
SRS1992730	C10042_I	t3	stool
SRS1992731	C10042_I	t2	stool
SRS1992732	C10042_I	t2	saliva
SRS1992733	C10042_M	t0	stool
SRS1992736	C10039_I	t2	saliva
SRS1992737	C10039_I	t1	saliva
SRS1992738	C10039_M	t0	saliva
SRS1992739	C10039_I	t3	stool
SRS1992740	C10039_I	t2	stool
SRS1992742	C10039_M	t0	stool
SRS1992744	C10035_I	t4	stool
SRS1992745	C10035_I	t3	stool
SRS1992748	C10035_I	t1	saliva
SRS1992749	C10035_M	t0	stool
SRS1992750	C10035_I	t2	saliva
SRS1992751	C10035_M	t0	saliva
SRS1992752	C10035_I	t2	stool
SRS1992753	C10035_I	t1	stool
SRS1992754	C10034_I	t1	saliva
SRS1992755	C10034_I	t4	stool
SRS1992756	C10034_I	t3	stool
SRS1992759	C10034_M	t0	stool
SRS1992760	C10034_M	t0	saliva
SRS1992761	C10034_I	t2	saliva
SRS1992762	C10034_I	t1	stool
SRS1992763	C10034_I	t2	stool
SRS1992765	C10032_M	t0	stool
SRS1992766	C10032_I	t5	stool
SRS1992767	C10032_M	t0	saliva
SRS1992768	C10032_I	t4	stool
SRS1992769	C10032_I	t1	saliva
SRS1992770	C10032_I	t2	saliva
SRS1992771	C10032_I	t3	stool
SRS1992772	C10032_I	t2	stool
SRS1992773	C10032_I	t1	stool
SRS1992774	C10031_I	t4	stool
SRS1992775	C10031_I	t1	stool
SRS1992776	C10031_I	t5	stool
SRS1992777	C10031_I	t3	stool
SRS1992779	C10031_M	t0	stool
SRS1992781	C10031_M	t0	saliva
SRS1992782	C10031_I	t1	saliva
SRS1992783	C10031_I	t2	saliva
SRS1992784	C10029_I	t3	stool
SRS1992785	C10029_I	t1	saliva
SRS1992786	C10029_M	t0	stool
SRS1992787	C10029_I	t2	stool
SRS1992788	C10029_I	t1	stool
SRS1992791	C10029_M	t0	saliva
SRS1992792	C10029_I	t2	saliva
SRS1992793	C10026_I	t4	stool
SRS1992795	C10026_M	t0	stool
SRS1992796	C10026_M	t0	saliva
SRS1992797	C10026_I	t3	stool
SRS1992798	C10026_I	t2	stool
SRS1992799	C10026_I	t1	stool
SRS1992800	C10024_I	t5	stool
SRS1992801	C10024_I	t4	stool
SRS1992803	C10024_M	t0	saliva
SRS1992804	C10024_I	t3	stool
SRS1992805	C10024_I	t2	saliva
SRS1992806	C10024_I	t2	stool
SRS1992807	C10024_I	t1	stool
SRS1992808	C10023_I	t5	stool
SRS1992809	C10023_I	t4	stool
SRS1992810	C10023_I	t3	stool
SRS1992811	C10023_M	t0	stool
SRS1992812	C10023_I	t2	saliva
SRS1992814	C10023_M	t0	saliva
SRS1992815	C10023_I	t2	stool
SRS1992816	C10023_I	t1	stool
SRS1992817	C10020_I	t5	stool
SRS1992818	C10020_I	t4	stool
SRS1992819	C10020_I	t1	saliva
SRS1992820	C10020_M	t0	saliva
SRS1992821	C10020_M	t0	stool
SRS1992822	C10020_I	t3	stool
SRS1992823	C10020_I	t2	stool
SRS1992824	C10020_I	t1	stool
SRS1992825	C10019_I	t5	stool
SRS1992826	C10019_M	t0	stool
SRS1992828	C10019_M	t0	saliva
SRS1992829	C10019_I	t3	stool
SRS1992830	C10019_I	t4	stool
SRS1992831	C10019_I	t2	saliva
SRS1992832	C10019_I	t2	stool
SRS1992833	C10019_I	t1	stool
SRS1992834	C10015_M	t0	stool
SRS1992835	C10015_M	t0	saliva
SRS1992836	C10015_I	t2	saliva
SRS1992837	C10015_I	t2	stool
SRS1992838	C10015_I	t1	saliva
SRS1992839	C10015_I	t1	stool
SRS1992840	C10015_I	t3	stool
SRS1992843	C10009_M	t0	stool
SRS1992844	C10009_M	t0	saliva
SRS1992845	C10009_I	t5	stool
SRS1992846	C10009_I	t3	stool
SRS1992847	C10009_I	t4	stool
SRS1992848	C10009_I	t2	saliva
SRS1992849	C10009_I	t2	stool
SRS1992850	C10009_I	t1	saliva
SRS1992851	C10009_I	t1	stool
SRS1992853	C10008_M	t0	saliva
SRS1992854	C10008_I	t5	stool
SRS1992855	C10008_I	t3	stool
SRS1992856	C10008_I	t2	saliva
SRS1992857	C10008_I	t2	stool
SRS1992858	C10008_I	t1	saliva
SRS1992859	C10008_I	t1	stool
SRS1992860	C10007_I	t5	stool
SRS1992861	C10007_I	t4	stool
SRS1992862	C10007_I	t3	stool
SRS1992863	C10007_I	t2	saliva
SRS1992864	C10007_I	t2	stool
SRS1992865	C10007_I	t1	stool
SRS1992868	C10007_M	t0	saliva
SRS1992869	C10007_M	t0	stool
SRS1992870	C10006_I	t5	stool
SRS1992871	C10006_I	t4	stool
SRS1992872	C10006_I	t3	stool
SRS1992873	C10006_I	t2	saliva
SRS1992874	C10006_I	t2	stool
SRS1992875	C10006_I	t1	saliva
SRS1992877	C10006_I	t1	stool
SRS1992878	C10006_M	t0	saliva
SRS1992879	C10005_I	t5	stool
SRS1992880	C10005_I	t4	stool
SRS1992881	C10005_I	t2	stool
SRS1992882	C10005_I	t2	saliva
SRS1992883	C10005_I	t1	stool
SRS1992884	C10005_M	t0	stool
SRS1992885	C10005_M	t0	saliva
SRS1992886	C10003_I	t2	saliva
SRS1992887	C10003_I	t4	stool
SRS1992888	C10003_I	t3	stool
SRS1992890	C10003_M	t0	stool
SRS1992892	C10002_I	t4	stool
SRS1992893	C10002_I	t3	stool
SRS1992894	C10002_I	t2	saliva
SRS1992895	C10002_I	t2	stool
SRS1992896	C10002_M	t0	stool
SRS1992897	C10002_M	t0	saliva
SRS1992898	C10001_I	t3	stool
SRS1992899	C10001_I	t2	saliva
SRS1992900	C10001_I	t2	stool
SRS1992901	C10001_I	t1	saliva
SRS1992902	C10001_M	t0	saliva
SRS1992903	C10001_I	t1	stool
